session_id,traveller_id,origin_city,destination_city,search_date,travel_date,lead_days,departure_window,trip_purpose,party_size
S0000030,T000008,Delhi,Kolkata,2024-03-14,2024-03-20,6,Evening,Commute,1
S0000031,T000008,Mumbai,Hyderabad,2024-03-04,2024-03-07,3,Morning,Business,1
S0000032,T000008,Mumbai,Bangalore,2024-03-14,2024-04-15,32,Early Morning,Leisure,1
S0000033,T000009,Delhi,Hyderabad,2024-03-06,2024-04-04,29,Afternoon,Commute,1
S0000034,T000009,Delhi,Hyderabad,2024-03-06,2024-04-11,36,Early Morning,Business,1
S0000035,T000009,Delhi,Chennai,2024-03-12,2024-03-18,6,Early Morning,Commute,1
S0000036,T000009,Kolkata,Mumbai,2024-03-08,2024-04-13,36,Afternoon,Commute,1
S0000037,T000010,Mumbai,Hyderabad,2024-03-03,2024-03-11,8,Early Morning,Commute,1
S0000038,T000010,Chennai,Mumbai,2024-03-07,2024-03-08,1,Evening,Commute,1
S0000039,T000010,Delhi,Kolkata,2024-03-01,2024-03-03,2,Morning,Business,1
S0000040,T000010,Mumbai,Hyderabad,2024-03-08,2024-04-10,33,Night,Commute,3
S0000041,T000011,Hyderabad,Mumbai,2024-03-04,2024-04-21,48,Early Morning,Family / Personal,1
S0000042,T000011,Hyderabad,Kolkata,2024-03-14,2024-04-10,27,Morning,Commute,1
S0000043,T000011,Bangalore,Delhi,2024-03-01,2024-03-16,15,Evening,Commute,1
S0000044,T000011,Delhi,Mumbai,2024-03-13,2024-03-30,17,Evening,Commute,1
S0000045,T000012,Mumbai,Chennai,2024-03-12,2024-04-13,32,Night,Leisure,1
S0000046,T000012,Delhi,Bangalore,2024-03-03,2024-03-27,24,Afternoon,Commute,1
S0000047,T000012,Hyderabad,Bangalore,2024-03-12,2024-03-21,9,Night,Commute,1
S0000048,T000012,Chennai,Kolkata,2024-03-07,2024-04-10,34,Night,Commute,1
S0000049,T000013,Hyderabad,Bangalore,2024-03-14,2024-04-14,31,Evening,Commute,2
S0000050,T000013,Mumbai,Bangalore,2024-03-08,2024-04-07,30,Afternoon,Family / Personal,1
S0000051,T000013,Kolkata,Delhi,2024-03-11,2024-04-16,36,Night,Commute,2
S0000052,T000013,Bangalore,Hyderabad,2024-03-12,2024-04-14,33,Morning,Commute,1
S0000053,T000014,Mumbai,Delhi,2024-03-04,2024-04-15,42,Early Morning,Commute,1
S0000054,T000014,Kolkata,Bangalore,2024-03-04,2024-04-19,46,Night,Commute,1
S0000055,T000014,Mumbai,Chennai,2024-03-03,2024-03-13,10,Afternoon,Family / Personal,2
S0000056,T000014,Delhi,Kolkata,2024-03-12,2024-03-20,8,Morning,Commute,1
S0000057,T000015,Hyderabad,Delhi,2024-03-15,2024-03-27,12,Afternoon,Commute,1
S0000058,T000015,Hyderabad,Bangalore,2024-03-11,2024-04-21,41,Afternoon,Family / Personal,1
S0000059,T000015,Kolkata,Chennai,2024-03-09,2024-03-11,2,Evening,Commute,1
S0000060,T000015,Kolkata,Hyderabad,2024-03-14,2024-03-27,13,Night,Commute,1
S0000061,T000016,Mumbai,Bangalore,2024-03-13,2024-04-09,27,Afternoon,Commute,1
S0000062,T000016,Chennai,Kolkata,2024-03-15,2024-04-30,46,Early Morning,Commute,1
S0000063,T000016,Kolkata,Bangalore,2024-03-05,2024-03-31,26,Evening,Leisure,2
S0000064,T000016,Bangalore,Hyderabad,2024-03-11,2024-04-15,35,Afternoon,Commute,1
S0000065,T000017,Bangalore,Kolkata,2024-03-02,2024-03-15,13,Early Morning,Family / Personal,1
S0000066,T000017,Bangalore,Mumbai,2024-03-13,2024-04-29,47,Morning,Business,1
S0000067,T000017,Hyderabad,Mumbai,2024-03-13,2024-03-18,5,Morning,Leisure,1
S0000068,T000017,Kolkata,Mumbai,2024-03-04,2024-03-10,6,Morning,Commute,1
S0000069,T000018,Mumbai,Hyderabad,2024-03-06,2024-04-13,38,Afternoon,Commute,1
S0000070,T000018,Bangalore,Chennai,2024-03-10,2024-03-30,20,Evening,Commute,1
S0000071,T000018,Chennai,Delhi,2024-03-07,2024-04-24,48,Afternoon,Commute,1
S0000072,T000018,Hyderabad,Mumbai,2024-03-08,2024-04-18,41,Early Morning,Commute,1
S0000073,T000019,Hyderabad,Kolkata,2024-03-13,2024-04-22,40,Early Morning,Commute,1
S0000074,T000019,Kolkata,Mumbai,2024-03-11,2024-03-17,6,Evening,Commute,1
S0000075,T000019,Bangalore,Delhi,2024-03-05,2024-04-07,33,Afternoon,Commute,1
S0000076,T000019,Hyderabad,Bangalore,2024-03-11,2024-04-21,41,Early Morning,Commute,2
S0000077,T000020,Delhi,Mumbai,2024-03-05,2024-03-20,15,Night,Commute,1
S0000078,T000020,Mumbai,Bangalore,2024-03-11,2024-04-25,45,Early Morning,Family / Personal,1
S0000079,T000020,Mumbai,Hyderabad,2024-03-09,2024-03-29,20,Evening,Commute,1
S0000080,T000020,Kolkata,Delhi,2024-03-03,2024-03-15,12,Morning,Commute,1
S0000081,T000021,Mumbai,Hyderabad,2024-03-15,2024-03-26,11,Evening,Commute,1
S0000082,T000021,Mumbai,Bangalore,2024-03-09,2024-04-18,40,Afternoon,Commute,2
S0000083,T000021,Bangalore,Delhi,2024-03-11,2024-04-11,31,Afternoon,Business,1
S0000084,T000021,Delhi,Bangalore,2024-03-03,2024-03-23,20,Early Morning,Business,2
S0000085,T000022,Delhi,Mumbai,2024-03-08,2024-03-11,3,Afternoon,Family / Personal,1
S0000086,T000022,Bangalore,Kolkata,2024-03-15,2024-04-04,20,Early Morning,Commute,1
S0000087,T000022,Chennai,Hyderabad,2024-03-08,2024-03-14,6,Early Morning,Commute,1
S0000088,T000022,Mumbai,Delhi,2024-03-05,2024-04-22,48,Afternoon,Commute,3
S0000089,T000023,Mumbai,Hyderabad,2024-03-02,2024-04-17,46,Morning,Leisure,1
S0000090,T000023,Chennai,Bangalore,2024-03-08,2024-04-25,48,Afternoon,Leisure,1
S0000091,T000023,Bangalore,Delhi,2024-03-12,2024-03-13,1,Morning,Family / Personal,1
S0000092,T000023,Delhi,Hyderabad,2024-03-02,2024-04-03,32,Night,Commute,1
S0000093,T000024,Chennai,Delhi,2024-03-01,2024-03-16,15,Morning,Commute,1
S0000094,T000024,Mumbai,Delhi,2024-03-05,2024-03-29,24,Night,Family / Personal,2
S0000095,T000024,Mumbai,Hyderabad,2024-03-07,2024-04-11,35,Night,Commute,1
S0000096,T000024,Delhi,Hyderabad,2024-03-02,2024-03-14,12,Night,Commute,2
S0000097,T000025,Bangalore,Mumbai,2024-03-15,2024-04-10,26,Evening,Commute,1
S0000098,T000025,Delhi,Hyderabad,2024-03-06,2024-03-18,12,Night,Commute,1
S0000099,T000025,Bangalore,Mumbai,2024-03-12,2024-03-24,12,Morning,Commute,1
S0000100,T000025,Kolkata,Mumbai,2024-03-11,2024-03-19,8,Evening,Commute,1
S0000101,T000026,Kolkata,Mumbai,2024-03-14,2024-03-23,9,Evening,Commute,1
S0000102,T000026,Hyderabad,Mumbai,2024-03-04,2024-03-14,10,Afternoon,Commute,1
S0000103,T000026,Delhi,Hyderabad,2024-03-14,2024-04-15,32,Early Morning,Leisure,1
S0000104,T000026,Kolkata,Bangalore,2024-03-09,2024-03-22,13,Early Morning,Leisure,2
S0000105,T000027,Kolkata,Bangalore,2024-03-11,2024-04-26,46,Early Morning,Business,3
S0000106,T000027,Mumbai,Hyderabad,2024-03-07,2024-04-03,27,Early Morning,Commute,1
S0000107,T000027,Chennai,Kolkata,2024-03-07,2024-03-18,11,Afternoon,Commute,1
S0000108,T000027,Hyderabad,Chennai,2024-03-03,2024-04-10,38,Afternoon,Business,1
S0000109,T000028,Chennai,Bangalore,2024-03-04,2024-03-22,18,Early Morning,Commute,1
S0000110,T000028,Kolkata,Delhi,2024-03-09,2024-03-25,16,Night,Business,1
S0000111,T000028,Mumbai,Delhi,2024-03-04,2024-04-14,41,Evening,Leisure,1
S0000112,T000028,Mumbai,Hyderabad,2024-03-08,2024-04-06,29,Night,Leisure,1
S0000113,T000029,Delhi,Chennai,2024-03-15,2024-04-21,37,Night,Leisure,1
S0000114,T000029,Mumbai,Delhi,2024-03-09,2024-04-11,33,Morning,Commute,1
S0000115,T000029,Bangalore,Delhi,2024-03-07,2024-03-31,24,Night,Commute,3
S0000116,T000029,Hyderabad,Bangalore,2024-03-03,2024-03-24,21,Early Morning,Commute,1
S0000117,T000030,Mumbai,Kolkata,2024-03-03,2024-04-06,34,Early Morning,Commute,1
S0000118,T000030,Delhi,Mumbai,2024-03-09,2024-04-19,41,Early Morning,Commute,1
S0000119,T000030,Hyderabad,Chennai,2024-03-06,2024-03-10,4,Evening,Commute,1
S0000120,T000030,Kolkata,Mumbai,2024-03-05,2024-03-07,2,Evening,Commute,1
S0000121,T000031,Bangalore,Chennai,2024-03-09,2024-04-22,44,Early Morning,Leisure,1
S0000122,T000031,Kolkata,Bangalore,2024-03-14,2024-04-21,38,Afternoon,Commute,1
S0000123,T000031,Kolkata,Chennai,2024-03-02,2024-03-28,26,Early Morning,Commute,1
S0000124,T000031,Mumbai,Delhi,2024-03-01,2024-04-06,36,Night,Commute,1
S0000125,T000032,Chennai,Mumbai,2024-03-04,2024-04-11,38,Night,Leisure,1
S0000126,T000032,Bangalore,Kolkata,2024-03-10,2024-03-29,19,Afternoon,Commute,1
S0000127,T000032,Kolkata,Bangalore,2024-03-11,2024-03-25,14,Evening,Business,2
S0000128,T000032,Delhi,Bangalore,2024-03-02,2024-03-27,25,Morning,Commute,1
S0000129,T000033,Delhi,Bangalore,2024-03-01,2024-04-15,45,Morning,Leisure,1
S0000130,T000033,Bangalore,Kolkata,2024-03-10,2024-03-25,15,Early Morning,Commute,1
S0000131,T000033,Delhi,Kolkata,2024-03-01,2024-03-18,17,Evening,Family / Personal,1
S0000132,T000033,Mumbai,Delhi,2024-03-01,2024-04-07,37,Morning,Commute,1
S0000133,T000034,Mumbai,Hyderabad,2024-03-06,2024-04-10,35,Early Morning,Family / Personal,1
S0000134,T000034,Mumbai,Kolkata,2024-03-10,2024-03-17,7,Morning,Business,1
S0000135,T000034,Hyderabad,Bangalore,2024-03-05,2024-04-07,33,Early Morning,Leisure,1
S0000136,T000034,Kolkata,Delhi,2024-03-09,2024-03-15,6,Morning,Commute,3
S0000137,T000035,Bangalore,Chennai,2024-03-14,2024-04-19,36,Evening,Business,1
S0000138,T000035,Hyderabad,Kolkata,2024-03-09,2024-04-24,46,Night,Commute,1
S0000139,T000035,Delhi,Bangalore,2024-03-08,2024-04-13,36,Evening,Family / Personal,1
S0000140,T000035,Chennai,Kolkata,2024-03-10,2024-04-11,32,Evening,Commute,1
S0000141,T000036,Delhi,Mumbai,2024-03-07,2024-03-11,4,Morning,Commute,1
S0000142,T000036,Bangalore,Mumbai,2024-03-06,2024-03-11,5,Night,Commute,1
S0000143,T000036,Delhi,Bangalore,2024-03-03,2024-03-27,24,Morning,Commute,1
S0000144,T000036,Kolkata,Chennai,2024-03-02,2024-04-17,46,Early Morning,Commute,1
S0000145,T000037,Delhi,Bangalore,2024-03-07,2024-04-04,28,Early Morning,Family / Personal,1
S0000146,T000037,Chennai,Delhi,2024-03-01,2024-03-27,26,Afternoon,Leisure,1
S0000147,T000037,Hyderabad,Bangalore,2024-03-05,2024-03-25,20,Evening,Commute,1
S0000148,T000037,Mumbai,Chennai,2024-03-03,2024-04-05,33,Morning,Leisure,2
S0000149,T000038,Mumbai,Bangalore,2024-03-14,2024-04-16,33,Night,Commute,1
S0000150,T000038,Kolkata,Hyderabad,2024-03-01,2024-04-07,37,Evening,Family / Personal,1
S0000151,T000038,Kolkata,Bangalore,2024-03-11,2024-04-25,45,Evening,Commute,1
S0000152,T000038,Mumbai,Hyderabad,2024-03-01,2024-03-27,26,Night,Commute,1
S0000153,T000039,Bangalore,Delhi,2024-03-08,2024-04-26,49,Night,Leisure,1
S0000154,T000039,Hyderabad,Mumbai,2024-03-14,2024-04-27,44,Afternoon,Commute,2
S0000155,T000039,Delhi,Kolkata,2024-03-09,2024-03-18,9,Afternoon,Leisure,2
S0000156,T000039,Kolkata,Hyderabad,2024-03-13,2024-03-15,2,Night,Commute,2
S0000157,T000040,Chennai,Mumbai,2024-03-10,2024-03-29,19,Morning,Commute,1
S0000158,T000040,Chennai,Hyderabad,2024-03-05,2024-03-07,2,Afternoon,Leisure,1
S0000159,T000040,Chennai,Mumbai,2024-03-01,2024-04-16,46,Morning,Commute,1
S0000160,T000040,Hyderabad,Bangalore,2024-03-08,2024-04-17,40,Evening,Commute,1
S0000161,T000041,Bangalore,Delhi,2024-03-03,2024-03-23,20,Early Morning,Commute,1
S0000162,T000041,Mumbai,Bangalore,2024-03-03,2024-04-04,32,Night,Commute,1
S0000163,T000041,Mumbai,Bangalore,2024-03-15,2024-04-09,25,Afternoon,Family / Personal,1
S0000164,T000041,Chennai,Mumbai,2024-03-02,2024-04-08,37,Evening,Leisure,1
S0000165,T000042,Bangalore,Mumbai,2024-03-09,2024-03-16,7,Evening,Commute,2
S0000166,T000042,Delhi,Hyderabad,2024-03-10,2024-04-12,33,Night,Leisure,1
S0000167,T000042,Bangalore,Hyderabad,2024-03-03,2024-03-13,10,Afternoon,Commute,2
S0000168,T000042,Kolkata,Hyderabad,2024-03-03,2024-04-03,31,Early Morning,Business,1
S0000169,T000043,Chennai,Bangalore,2024-03-09,2024-04-04,26,Night,Commute,1
S0000170,T000043,Bangalore,Hyderabad,2024-03-05,2024-03-22,17,Night,Commute,1
S0000171,T000043,Kolkata,Mumbai,2024-03-02,2024-04-17,46,Morning,Commute,1
S0000172,T000043,Kolkata,Delhi,2024-03-02,2024-04-03,32,Afternoon,Commute,1
S0000173,T000044,Bangalore,Hyderabad,2024-03-06,2024-04-10,35,Evening,Commute,1
S0000174,T000044,Bangalore,Delhi,2024-03-11,2024-04-07,27,Evening,Commute,1
S0000175,T000044,Kolkata,Mumbai,2024-03-06,2024-04-08,33,Night,Family / Personal,1
S0000176,T000044,Kolkata,Hyderabad,2024-03-14,2024-03-19,5,Evening,Commute,1
S0000177,T000045,Chennai,Hyderabad,2024-03-04,2024-03-28,24,Night,Commute,1
S0000178,T000045,Bangalore,Hyderabad,2024-03-01,2024-03-21,20,Early Morning,Commute,1
S0000179,T000045,Bangalore,Mumbai,2024-03-05,2024-04-01,27,Afternoon,Commute,1
S0000180,T000045,Kolkata,Hyderabad,2024-03-03,2024-04-06,34,Early Morning,Family / Personal,1
S0000181,T000046,Chennai,Delhi,2024-03-03,2024-03-07,4,Afternoon,Commute,1
S0000182,T000046,Bangalore,Delhi,2024-03-05,2024-04-06,32,Afternoon,Commute,1
S0000183,T000046,Kolkata,Hyderabad,2024-03-03,2024-04-07,35,Early Morning,Commute,1
S0000184,T000046,Bangalore,Delhi,2024-03-04,2024-04-20,47,Night,Commute,1
S0000185,T000047,Mumbai,Bangalore,2024-03-14,2024-04-27,44,Night,Commute,1
S0000186,T000047,Delhi,Mumbai,2024-03-12,2024-04-21,40,Afternoon,Commute,1
S0000187,T000047,Kolkata,Mumbai,2024-03-02,2024-03-19,17,Evening,Commute,1
S0000188,T000047,Kolkata,Mumbai,2024-03-15,2024-04-03,19,Morning,Commute,1
S0000189,T000048,Kolkata,Hyderabad,2024-03-06,2024-03-11,5,Night,Business,1
S0000190,T000048,Kolkata,Chennai,2024-03-09,2024-04-19,41,Night,Commute,1
S0000191,T000048,Bangalore,Chennai,2024-03-03,2024-04-07,35,Night,Family / Personal,2
S0000192,T000048,Delhi,Bangalore,2024-03-05,2024-03-06,1,Evening,Business,1
S0000193,T000049,Hyderabad,Delhi,2024-03-11,2024-03-15,4,Night,Commute,2
S0000194,T000049,Bangalore,Hyderabad,2024-03-14,2024-03-16,2,Morning,Commute,1
S0000195,T000049,Kolkata,Hyderabad,2024-03-03,2024-04-01,29,Early Morning,Leisure,1
S0000196,T000049,Chennai,Bangalore,2024-03-11,2024-04-02,22,Night,Commute,1
S0000197,T000050,Kolkata,Delhi,2024-03-12,2024-03-15,3,Morning,Commute,3
S0000198,T000050,Bangalore,Kolkata,2024-03-10,2024-04-01,22,Morning,Commute,1
S0000199,T000050,Mumbai,Kolkata,2024-03-14,2024-03-24,10,Early Morning,Family / Personal,1
S0000200,T000050,Kolkata,Hyderabad,2024-03-08,2024-04-18,41,Afternoon,Commute,1
S0000201,T000051,Mumbai,Chennai,2024-03-12,2024-04-29,48,Evening,Family / Personal,1
S0000202,T000051,Delhi,Chennai,2024-03-01,2024-03-11,10,Evening,Commute,1
S0000203,T000051,Bangalore,Mumbai,2024-03-11,2024-04-19,39,Early Morning,Leisure,1
S0000204,T000051,Mumbai,Hyderabad,2024-03-11,2024-03-21,10,Evening,Business,1
S0000205,T000052,Mumbai,Hyderabad,2024-03-02,2024-03-30,28,Early Morning,Family / Personal,3
S0000206,T000052,Kolkata,Delhi,2024-03-01,2024-03-14,13,Night,Leisure,1
S0000207,T000052,Mumbai,Hyderabad,2024-03-10,2024-04-25,46,Afternoon,Family / Personal,1
S0000208,T000052,Kolkata,Hyderabad,2024-03-01,2024-04-18,48,Afternoon,Commute,1
S0000209,T000053,Hyderabad,Delhi,2024-03-15,2024-03-28,13,Evening,Commute,1
S0000210,T000053,Delhi,Mumbai,2024-03-12,2024-03-17,5,Early Morning,Commute,1
S0000211,T000053,Chennai,Hyderabad,2024-03-06,2024-03-14,8,Evening,Commute,1
S0000212,T000053,Bangalore,Kolkata,2024-03-02,2024-03-20,18,Early Morning,Family / Personal,1
S0000213,T000054,Kolkata,Chennai,2024-03-05,2024-03-22,17,Night,Commute,2
S0000214,T000054,Delhi,Hyderabad,2024-03-15,2024-04-02,18,Early Morning,Leisure,1
S0000215,T000054,Chennai,Hyderabad,2024-03-01,2024-04-18,48,Early Morning,Commute,1
S0000216,T000054,Delhi,Mumbai,2024-03-02,2024-03-14,12,Evening,Commute,1
S0000217,T000055,Kolkata,Hyderabad,2024-03-10,2024-04-26,47,Early Morning,Commute,1
S0000218,T000055,Delhi,Chennai,2024-03-05,2024-03-28,23,Morning,Commute,1
S0000219,T000055,Chennai,Hyderabad,2024-03-04,2024-03-25,21,Evening,Commute,3
S0000220,T000055,Delhi,Bangalore,2024-03-07,2024-03-29,22,Evening,Commute,1
S0000221,T000056,Mumbai,Hyderabad,2024-03-15,2024-04-30,46,Morning,Commute,1
S0000222,T000056,Mumbai,Bangalore,2024-03-03,2024-04-04,32,Evening,Leisure,2
S0000223,T000056,Kolkata,Mumbai,2024-03-07,2024-03-09,2,Morning,Commute,3
S0000224,T000056,Kolkata,Chennai,2024-03-04,2024-03-13,9,Early Morning,Commute,2
S0000225,T000057,Chennai,Delhi,2024-03-04,2024-04-21,48,Afternoon,Leisure,1
S0000226,T000057,Hyderabad,Delhi,2024-03-05,2024-04-11,37,Morning,Commute,1
S0000227,T000057,Kolkata,Bangalore,2024-03-05,2024-03-26,21,Night,Commute,1
S0000228,T000057,Hyderabad,Chennai,2024-03-03,2024-03-08,5,Afternoon,Family / Personal,1
S0000229,T000058,Delhi,Kolkata,2024-03-08,2024-03-20,12,Evening,Business,1
S0000230,T000058,Delhi,Kolkata,2024-03-10,2024-03-21,11,Early Morning,Commute,1
S0000231,T000058,Kolkata,Bangalore,2024-03-05,2024-04-01,27,Morning,Commute,1
S0000232,T000058,Delhi,Kolkata,2024-03-02,2024-03-09,7,Early Morning,Commute,1
S0000233,T000059,Bangalore,Kolkata,2024-03-05,2024-04-13,39,Early Morning,Commute,1
S0000234,T000059,Kolkata,Mumbai,2024-03-03,2024-03-07,4,Early Morning,Leisure,1
S0000235,T000059,Delhi,Hyderabad,2024-03-02,2024-03-21,19,Afternoon,Commute,1
S0000236,T000059,Kolkata,Bangalore,2024-03-08,2024-04-20,43,Evening,Commute,1
S0000237,T000060,Chennai,Hyderabad,2024-03-09,2024-04-20,42,Early Morning,Commute,1
S0000238,T000060,Kolkata,Mumbai,2024-03-12,2024-04-18,37,Evening,Leisure,1
S0000239,T000060,Delhi,Hyderabad,2024-03-04,2024-04-17,44,Afternoon,Commute,1
S0000240,T000060,Kolkata,Chennai,2024-03-07,2024-03-22,15,Morning,Commute,1
S0000241,T000061,Hyderabad,Bangalore,2024-03-08,2024-03-15,7,Evening,Leisure,1
S0000242,T000061,Bangalore,Chennai,2024-03-03,2024-03-17,14,Evening,Leisure,1
S0000243,T000061,Bangalore,Kolkata,2024-03-04,2024-03-08,4,Early Morning,Commute,1
S0000244,T000061,Chennai,Delhi,2024-03-06,2024-04-24,49,Evening,Family / Personal,1
S0000245,T000062,Kolkata,Chennai,2024-03-07,2024-04-06,30,Evening,Commute,2
S0000246,T000062,Bangalore,Delhi,2024-03-15,2024-03-28,13,Afternoon,Commute,1
S0000247,T000062,Bangalore,Delhi,2024-03-04,2024-04-19,46,Night,Commute,1
S0000248,T000062,Hyderabad,Kolkata,2024-03-02,2024-04-09,38,Morning,Leisure,1
S0000249,T000063,Chennai,Hyderabad,2024-03-07,2024-04-08,32,Afternoon,Business,1
S0000250,T000063,Hyderabad,Chennai,2024-03-02,2024-04-05,34,Evening,Commute,1
S0000251,T000063,Delhi,Kolkata,2024-03-11,2024-03-19,8,Early Morning,Commute,1
S0000252,T000063,Hyderabad,Chennai,2024-03-02,2024-03-18,16,Early Morning,Commute,1
S0000253,T000064,Kolkata,Hyderabad,2024-03-11,2024-03-22,11,Early Morning,Commute,1
S0000254,T000064,Chennai,Delhi,2024-03-11,2024-04-22,42,Afternoon,Family / Personal,1
S0000255,T000064,Chennai,Hyderabad,2024-03-12,2024-03-27,15,Early Morning,Commute,1
S0000256,T000064,Bangalore,Hyderabad,2024-03-10,2024-03-16,6,Early Morning,Leisure,1
S0000257,T000065,Kolkata,Delhi,2024-03-13,2024-04-28,46,Evening,Family / Personal,1
S0000258,T000065,Chennai,Bangalore,2024-03-05,2024-04-22,48,Afternoon,Family / Personal,1
S0000259,T000065,Bangalore,Mumbai,2024-03-11,2024-03-27,16,Evening,Leisure,1
S0000260,T000065,Chennai,Bangalore,2024-03-11,2024-03-25,14,Night,Leisure,1
S0000261,T000066,Delhi,Bangalore,2024-03-02,2024-04-13,42,Evening,Commute,1
S0000262,T000066,Mumbai,Hyderabad,2024-03-06,2024-03-24,18,Morning,Business,2
S0000263,T000066,Delhi,Bangalore,2024-03-05,2024-03-19,14,Early Morning,Commute,1
S0000264,T000066,Mumbai,Chennai,2024-03-15,2024-04-02,18,Early Morning,Leisure,1
S0000265,T000067,Hyderabad,Bangalore,2024-03-02,2024-03-26,24,Morning,Leisure,1
S0000266,T000067,Delhi,Bangalore,2024-03-02,2024-04-14,43,Early Morning,Business,1
S0000267,T000067,Chennai,Kolkata,2024-03-07,2024-04-23,47,Morning,Commute,1
S0000268,T000067,Hyderabad,Kolkata,2024-03-14,2024-04-18,35,Morning,Commute,1
S0000269,T000068,Kolkata,Delhi,2024-03-11,2024-04-09,29,Morning,Leisure,1
S0000270,T000068,Kolkata,Delhi,2024-03-14,2024-03-30,16,Night,Commute,1
S0000271,T000068,Delhi,Mumbai,2024-03-12,2024-03-31,19,Morning,Family / Personal,1
S0000272,T000068,Bangalore,Hyderabad,2024-03-15,2024-03-29,14,Afternoon,Leisure,1
S0000273,T000069,Delhi,Bangalore,2024-03-03,2024-03-20,17,Morning,Family / Personal,1
S0000274,T000069,Delhi,Bangalore,2024-03-11,2024-04-06,26,Evening,Commute,2
S0000275,T000069,Hyderabad,Bangalore,2024-03-03,2024-03-28,25,Early Morning,Business,1
S0000276,T000069,Mumbai,Chennai,2024-03-01,2024-03-02,1,Afternoon,Commute,1
S0000277,T000070,Chennai,Bangalore,2024-03-03,2024-04-15,43,Afternoon,Commute,1
S0000278,T000070,Bangalore,Mumbai,2024-03-10,2024-03-14,4,Morning,Leisure,1
S0000279,T000070,Mumbai,Kolkata,2024-03-06,2024-03-14,8,Afternoon,Family / Personal,2
S0000280,T000070,Kolkata,Bangalore,2024-03-13,2024-04-01,19,Evening,Commute,1
S0000281,T000071,Delhi,Mumbai,2024-03-03,2024-03-08,5,Morning,Business,1
S0000282,T000071,Delhi,Bangalore,2024-03-07,2024-04-07,31,Evening,Business,1
S0000283,T000071,Chennai,Mumbai,2024-03-08,2024-03-30,22,Afternoon,Commute,1
S0000284,T000071,Bangalore,Mumbai,2024-03-14,2024-04-19,36,Early Morning,Commute,1
S0000285,T000072,Kolkata,Delhi,2024-03-13,2024-04-29,47,Night,Leisure,1
S0000286,T000072,Hyderabad,Mumbai,2024-03-15,2024-03-16,1,Evening,Commute,1
S0000287,T000072,Chennai,Delhi,2024-03-15,2024-05-03,49,Night,Commute,1
S0000288,T000072,Bangalore,Mumbai,2024-03-03,2024-03-26,23,Afternoon,Leisure,1
S0000289,T000073,Kolkata,Chennai,2024-03-10,2024-03-13,3,Afternoon,Commute,1
S0000290,T000073,Chennai,Mumbai,2024-03-10,2024-04-23,44,Early Morning,Commute,1
